selected,selection_key,method,scenario,experiment_id,eval_name,repeat,episode_id,line_no,result,win,score,terminal_hp_margin,final_hp_delta,final_hp_my,final_hp_enemy,final_game_loop,frame_count,state_seq_len,unique_state_count,ood_frames,ood_ratio,mechanism_changed_frames,mechanism_changed_ratio,switch_frames,tuning_frames,tuning_ratio,gate_frames,gate_ratio,gate_A_mean,gate_A_max,gate_A_positive_ratio,gate_A_pass_ratio,gate_C_mean,gate_C_max,gate_C_pass_ratio,gate_v_mean,gate_v_max,gate_v_support_mean,gate_v_support_max,gate_supported_frames,gate_supported_ratio,gate_validated_frames,gate_validated_ratio,gate_joint_pass_ratio,gate_changed_ratio,gate_mean_evidence_score,gate_peak_evidence_score,gate_mean_gate_pass_score,gate_peak_gate_pass_score,gate_mean_rectification_score,gate_peak_rectification_score,gate_mean_support_score,gate_peak_support_score,avg_decision_ms,first_state_key,last_state_key,eval_dir,batch_tag,score_numeric,score_bin,etg_subset_mean_score,etg_subset_std_score,counterpart_rule,synergy_selected_mean_score,synergy_selected_median_score,synergy_selected_std_score,target_mean_score,target_median_score,counterpart_rank
False,repeat_001::ep_142::line_142,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,142,142,Win,True,63.0,63.0,3.0,63.0,0.0,16872,13,13,12,0,0.0,0,0.0,0,1,0.0769230769230769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493000000039046,0,8084,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,63.0,1,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,86
False,repeat_001::ep_199::line_199,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,199,199,Win,True,63.0,63.0,3.0,63.0,0.0,23456,13,13,12,0,0.0,0,0.0,0,5,0.3846153846153846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1766399999979739,0,2095,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,63.0,1,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,87
False,repeat_001::ep_223::line_223,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,223,223,Win,True,63.0,63.0,3.0,63.0,0.0,26264,13,13,12,0,0.0,0,0.0,0,3,0.2307692307692307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055999999962902,0,2121,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,63.0,1,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,88
False,repeat_001::ep_276::line_276,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,276,276,Win,True,63.0,63.0,3.0,63.0,0.0,32520,13,13,12,0,0.0,0,0.0,0,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549666666690579,0,4160,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,63.0,1,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,89
False,repeat_001::ep_284::line_284,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,284,284,Win,True,63.0,63.0,18.0,63.0,0.0,33446,12,12,11,1,0.0833333333333333,0,0.0,0,6,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937166666673798,0,2095,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,63.0,1,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,90
False,repeat_001::ep_31::line_31,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,31,31,Win,True,60.0,60.0,3.0,60.0,0.0,3750,15,15,14,0,0.0,0,0.0,0,2,0.1333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105999999990615,0,1221,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,91
False,repeat_001::ep_61::line_61,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,61,61,Win,True,60.0,60.0,9.0,60.0,0.0,7350,15,15,14,0,0.0,0,0.0,0,3,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2188333333326871,0,3780,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,92
False,repeat_001::ep_76::line_76,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,76,76,Win,True,60.0,60.0,3.0,60.0,0.0,9140,14,14,12,1,0.0714285714285714,0,0.0,0,3,0.2142857142857142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173333333341058,0,1600,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,93
False,repeat_001::ep_120::line_120,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,120,120,Win,True,60.0,60.0,3.0,60.0,0.0,14278,13,13,12,0,0.0,0,0.0,0,4,0.3076923076923077,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183499999990346,0,1600,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,94
False,repeat_001::ep_122::line_122,ETG-only,sce-2,sce2_etg_run_0069,eval_run_0069_web_batch_20260622_141137,repeat_001,122,122,Win,True,60.0,60.0,3.0,60.0,0.0,14542,15,15,13,0,0.0,0,0.0,0,4,0.2666666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1902749999995734,0,1566,C:\Users\Binich\PycharmProjects\PredictionRTS\output\learner_results\all_data\ETG-only\sce2_etg_run_0069\final_eval\eval_run_0069_web_batch_20260622_141137,web_batch_20260622_141137,60.0,0,73.11,7.870023680223126,original_final_eval_subset_lower_mean_high_variation,77.46,78.0,3.7508786849338285,76.33473639451985,76.87473639451986,95
