state_id,x,y,visits,method_count,methods,color,category,marker
548,0.5494092168485089,-0.6782258699647298,32,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
570,2.293562552699303,1.1743250315833904,32,2,ETG-only;MAT,#dbdbdb,cross_shared,D
17,0.4641525393980085,0.5237758257347487,31,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
67,2.4595974024607115,0.6178951978279293,31,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
225,-1.5837700940785253,-1.2923151395510242,31,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
402,-3.657395031399745,-3.10146302338643,31,2,MAT;VDN,#dbdbdb,baseline_shared,o
559,2.943535993687786,-0.220104877646869,31,3,ETG-only;MAPPO;Synergy,#c3c3c3,cross_shared,D
621,0.7365028929125799,-0.9772421893692176,31,2,ETG-only;RMAPPO,#dbdbdb,cross_shared,D
624,3.5439098079986024,2.140809843492158,31,2,ETG-only;RMAPPO,#dbdbdb,cross_shared,D
653,0.9426968981515452,-2.0183551225596372,31,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
656,2.7879147124483823,0.06052215258909068,31,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
18,2.4463411228374743,1.0127807010961565,30,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
23,-3.343002916939319,-4.062389924351848,30,5,MAPPO;QMIX;QTRAN;RMAPPO;VDN,#949494,baseline_shared,o
79,2.237798943702245,1.4502788895701884,30,4,MAPPO;MAT;QMIX;VDN,#acacac,baseline_shared,o
84,-3.305614122172695,-3.4885540988174393,30,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
166,0.39190390126337665,0.01340389882714222,30,2,QMIX;RMAPPO,#dbdbdb,baseline_shared,o
230,6.167890656094822,1.5148528151159886,30,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
778,0.6235974385735621,-1.361840796633748,30,1,Synergy,#1F5A9D,calp_unique,^
99,0.4505239637554587,0.6628021027409176,29,3,QMIX;QTRAN;VDN,#c3c3c3,baseline_shared,o
172,5.08335999060391,0.5549751451882882,29,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
184,-3.7288097581283313,-3.921726625753309,29,2,MAT;QMIX,#dbdbdb,baseline_shared,o
541,2.9408788285261958,2.9542862448550893,29,1,MAPPO,#17BECF,baseline_unique,o
139,-2.5664880767985516,-0.4757749227130378,28,3,MAPPO;MAT;QMIX,#c3c3c3,baseline_shared,o
150,3.6300758961031043,4.438670409410943,28,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
327,-1.3888428778792312,-1.8050005960360471,28,1,QTRAN,#9467BD,baseline_unique,o
545,2.595190876713457,0.8159602606034465,28,1,MAPPO,#17BECF,baseline_unique,o
46,2.7952067639406746,0.34821586451500824,26,2,MAT;QMIX,#dbdbdb,baseline_shared,o
138,-4.330057046361384,-2.6977552714920856,26,4,MAPPO;MAT;QMIX;QTRAN,#acacac,baseline_shared,o
342,-1.399516686896107,-0.6240922450536555,26,1,QTRAN,#9467BD,baseline_unique,o
343,-1.5279453528241105,-0.24231588519477756,26,2,QTRAN;VDN,#dbdbdb,baseline_shared,o
420,-3.44069363950511,-2.4788503040816083,26,2,MAT;VDN,#dbdbdb,baseline_shared,o
542,4.9036577370905094,0.07622204780728824,26,1,MAPPO,#17BECF,baseline_unique,o
627,0.6834981930239762,-0.747994271098198,26,2,ETG-only;RMAPPO,#dbdbdb,cross_shared,D
275,3.5465588646832353,4.355975144230077,25,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
6,0.9082475781323409,0.6773588085751309,24,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
350,5.163256387299743,0.13697849288001854,24,2,QTRAN;RMAPPO,#dbdbdb,baseline_shared,o
539,2.677531522893607,-0.29929792184640996,24,1,MAPPO,#17BECF,baseline_unique,o
2,-3.6836584841369664,-3.0697119144395435,23,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
16,0.3003419306909231,-0.3243640684758605,23,2,MAT;QMIX,#dbdbdb,baseline_shared,o
59,3.461564940002969,4.466523995671856,23,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
69,-4.244492318909284,-3.3246965800160675,23,4,MAPPO;MAT;QMIX;RMAPPO,#acacac,baseline_shared,o
106,-1.47999364489899,-0.359520971647244,23,2,QMIX;QTRAN,#dbdbdb,baseline_shared,o
409,-3.7720133129539826,-1.9246398100509008,23,1,VDN,#D62728,baseline_unique,o
562,2.800955098248011,-0.07954325178141916,23,3,ETG-only;MAPPO;MAT,#c3c3c3,cross_shared,D
654,0.9302387421468008,-1.5530207517638435,23,2,ETG-only;Synergy,#dbdbdb,calp_shared,^
45,0.6795182479957025,0.039679006646888955,22,4,MAPPO;MAT;QMIX;Synergy,#acacac,cross_shared,D
74,2.9929750885992545,3.1690326920441954,22,3,MAT;QMIX;QTRAN,#c3c3c3,baseline_shared,o
94,-4.018521921569741,-3.196667416582246,22,3,MAT;QMIX;VDN,#c3c3c3,baseline_shared,o
366,-1.3571313761827535,-2.09380033722882,22,4,MAPPO;QTRAN;RMAPPO;VDN,#acacac,baseline_shared,o
614,2.6412138774244873,-0.10462562189681429,22,2,ETG-only;RMAPPO,#dbdbdb,cross_shared,D
