source,target,transition_count,state_distance,methods,category
22,649,2,2.8220970869120796,ETG-only,calp
22,704,2,3.0979166666666664,ETG-only,calp
22,732,1,2.8156250000000003,ETG-only,calp
22,697,1,2.7135416666666665,ETG-only,calp
22,662,5,2.4662912607362393,Synergy,calp
105,95,3,1.4822916666666666,,baseline
105,37,3,0.9249999999999999,,baseline
105,42,3,1.081540854805811,,baseline
105,165,1,1.3249999999999997,QMIX,baseline
105,155,1,2.8377220869120796,QMIX,baseline
105,96,11,0.8156249999999999,,baseline
105,138,3,3.380208333333333,QMIX,baseline
105,175,9,0.9470970869120796,MAT;QMIX;QTRAN;VDN,baseline
105,53,3,0.6427083333333334,,baseline
105,210,1,1.2,QMIX,baseline
105,212,1,2.548958333333333,QMIX,baseline
105,118,1,2.164583333333333,QMIX,baseline
105,35,1,2.83125,,baseline
105,43,1,1.3482075214724774,,baseline
105,139,1,1.6072916666666663,QMIX,baseline
105,24,1,3.615625,,baseline
105,307,13,0.6971658548058111,QMIX;QTRAN,baseline
105,313,38,1.2229166666666667,QTRAN,baseline
105,324,10,0.9489583333333335,QTRAN,baseline
105,327,9,1.1760416666666667,QTRAN,baseline
105,178,1,1.7482075214724777,QTRAN,baseline
105,338,1,1.4427083333333335,QTRAN,baseline
105,225,7,1.2369712750512238,QTRAN,baseline
105,311,2,1.0427083333333336,QTRAN,baseline
105,594,2,2.8377220869120796,MAT,baseline
105,27,2,1.2148741881391445,,baseline
105,595,1,1.497165854805811,MAT,baseline
105,34,1,3.0979166666666664,,baseline
105,574,1,2.846875,MAT,baseline
105,70,1,1.6137637535787464,,baseline
1,2,9,1.066666666666667,QMIX,baseline
1,12,11,0.8220970869120797,QMIX,baseline
1,23,7,1.0666666666666667,QMIX,baseline
1,94,14,0.9333333333333338,MAT;QMIX,baseline
1,13,9,1.355430420245413,MAT;QMIX,baseline
1,184,28,0.5489583333333334,MAT;QMIX,baseline
1,41,12,1.355430420245413,MAT;QMIX,baseline
1,257,1,0.5645833333333335,QMIX,baseline
1,34,1,1.3489583333333337,QMIX,baseline
1,480,4,1.066666666666667,MAT;VDN,baseline
1,242,2,1.62209708691208,VDN,baseline
1,449,1,1.348958333333334,VDN,baseline
1,411,2,0.8,MAT,baseline
1,588,1,0.8377220869120797,MAT,baseline
1,84,3,1.3775275071574926,MAT,baseline
1,402,2,1.082291666666667,MAT,baseline
42,41,13,1.5999999999999999,,baseline
42,43,5,1.0666666666666664,MAT;QMIX,baseline
42,138,11,3.5200137535787466,MAT;QMIX,baseline
42,139,13,1.213763753578746,MAPPO;MAT;QMIX,baseline
42,217,1,1.1981387535787462,QMIX,baseline
42,152,1,1.6220970869120794,QMIX,baseline
42,81,13,3.088763753578746,MAPPO,baseline
42,36,3,1.3314720869120795,,baseline
42,292,8,1.3866804202454128,MAT,baseline
42,175,9,1.359938562148434,MAT,baseline
42,578,3,3.088763753578746,MAT,baseline
42,147,1,1.9043887535787463,MAT,baseline
42,63,1,1.6434433619633033,MAT,baseline
552,328,19,2.1802083333333333,,baseline
552,553,14,0.6666666666666667,MAPPO,baseline
552,333,35,2.859819173824159,,baseline
552,567,24,0.8293887535787463,ETG-only;MAPPO;Synergy,cross_shared
552,362,1,1.9457994026392602,,baseline
552,620,17,0.7135416666666667,RMAPPO,baseline
552,625,4,1.3802083333333333,RMAPPO,baseline
552,650,2,1.096055420245413,ETG-only,calp
552,654,7,2.3916666666666666,ETG-only,calp
552,656,11,0.9802083333333335,ETG-only;Synergy,calp
552,682,4,1.9135416666666667,ETG-only,calp
552,73,10,1.9291666666666667,,baseline
552,695,1,3.135638753578746,ETG-only,calp
552,696,7,0.9802083333333335,ETG-only;Synergy,calp
552,711,23,3.2625,ETG-only;Synergy,calp
552,670,1,2.1802083333333333,ETG-only,calp
552,652,2,3.1135416666666664,ETG-only,calp
552,689,3,2.580208333333333,Synergy,calp
552,337,18,1.0739583333333333,,baseline
552,779,1,1.635860840490826,Synergy,calp
552,794,1,3.120013753578746,Synergy,calp
552,631,1,0.8267079274029054,Synergy,calp
552,778,4,2.8625,Synergy,calp
662,649,7,0.710860840490826,,baseline
662,745,3,0.8689720869120795,Synergy,calp
662,712,2,0.8655404488753833,Synergy,calp
662,657,11,1.6689720869120794,,baseline
662,764,3,1.9025275071574925,Synergy,calp
662,36,4,1.12573502862997,,baseline
662,713,1,1.53220711554205,Synergy,calp
662,734,2,1.8869025071574925,Synergy,calp
662,783,1,1.0666666666666664,Synergy,calp
662,704,1,0.8137637535787463,Synergy,calp
662,786,1,1.9421108404908258,Synergy,calp
662,802,1,1.088763753578746,Synergy,calp
662,725,1,1.2267079274029058,Synergy,calp
328,327,1,2.1333333333333337,,baseline
328,89,2,0.9775275071574926,,baseline
328,88,1,1.7775275071574925,,baseline
328,339,36,2.6666666666666665,MAPPO;RMAPPO,baseline
328,362,3,0.5958333333333332,MAPPO,baseline
328,625,4,0.7999999999999998,RMAPPO,baseline
328,642,1,1.3638325214724778,RMAPPO,baseline
339,335,1,3.0666666666666664,,baseline
339,337,20,0.6666666666666667,,baseline
339,336,1,1.2,,baseline
339,318,1,1.2937500000000002,,baseline
339,379,1,2.548958333333333,QTRAN,baseline
339,545,23,1.0933745940695723,MAPPO,baseline
339,333,8,2.03125,,baseline
339,362,2,2.995833333333333,MAPPO,baseline
339,553,2,1.0739583333333333,MAPPO,baseline
339,568,2,3.1916666666666664,MAPPO,baseline
339,616,13,1.0739583333333333,RMAPPO,baseline
339,390,1,1.7958333333333334,RMAPPO,baseline
339,628,6,3.0822916666666664,RMAPPO,baseline
339,636,1,3.082291666666667,RMAPPO,baseline
339,639,1,0.9158470869120796,RMAPPO,baseline
339,642,1,1.7645833333333332,RMAPPO,baseline
47,31,11,0.8109802288151009,,baseline
47,32,23,2.4800485254002758,,baseline
47,74,1,1.3158470869120795,QMIX,baseline
47,143,5,0.6979166666666667,QMIX,baseline
47,144,15,2.1645833333333333,MAT;QMIX,baseline
47,11,5,2.9866804202454125,,baseline
47,68,1,0.9627220869120796,QMIX,baseline
47,211,1,3.8583333333333334,QTRAN,baseline
47,381,1,2.509375,QTRAN,baseline
47,371,1,3.325,QTRAN,baseline
47,228,1,2.8377220869120796,QTRAN,baseline
47,9,8,1.2468749999999997,,baseline
47,19,4,1.2385416666666667,,baseline
47,20,2,2.0072916666666667,,baseline
47,93,3,2.4689720869120793,VDN,baseline
47,21,3,4.03125,,baseline
47,415,2,2.5794575214724773,VDN,baseline
47,10,3,0.9866804202454127,,baseline
47,427,6,2.4109802288151005,VDN,baseline
47,401,1,3.2229166666666664,VDN,baseline
47,50,1,4.05981917382416,VDN,baseline
47,469,1,3.6109802288151003,VDN,baseline
47,112,4,2.125,MAT;VDN,baseline
47,522,1,2.576776695296637,VDN,baseline
47,432,1,2.0590683619633032,VDN,baseline
47,142,14,3.364583333333333,MAPPO,baseline
47,560,8,2.4156250000000004,MAPPO,baseline
47,554,6,2.717230228815101,MAPPO,baseline
47,570,12,1.7489583333333334,MAT,baseline
47,213,2,1.520013753578746,MAT,baseline
47,46,1,2.015625,,baseline
47,79,1,2.205993982393847,MAT,baseline
47,612,1,2.548958333333333,MAT,baseline
10,9,19,0.5489583333333333,,baseline
10,11,51,2.0,MAT;QMIX;VDN,baseline
10,40,4,1.7489583333333334,MAT;QMIX;VDN,baseline
10,79,3,2.05334708691208,QMIX;VDN,baseline
10,68,2,0.7981387535787463,QMIX,baseline
10,122,1,3.23125,QMIX,baseline
10,159,2,2.4046108404908257,QMIX,baseline
10,213,21,0.5333333333333333,MAT;QMIX,baseline
10,233,1,0.7160772551067974,QMIX,baseline
10,267,2,1.8869025071574925,QMIX;VDN,baseline
10,19,3,1.0915068587336094,MAT;QMIX;VDN,baseline
10,93,7,2.5931525071574923,VDN,baseline
10,425,1,0.9721838255912043,VDN,baseline
10,432,3,1.6847513124360127,MAT;VDN,baseline
10,20,2,2.11584708691208,VDN,baseline
10,21,4,3.8822916666666667,MAT;VDN,baseline
10,32,3,2.9032117386791247,VDN,baseline
10,31,3,1.2109802288151008,VDN,baseline
10,496,1,2.1767766952966365,VDN,baseline
10,529,1,1.2480034053457916,VDN,baseline
10,112,3,2.2776468954817677,MAT,baseline
10,540,6,2.6822916666666665,MAT,baseline
10,8,2,1.646875,,baseline
10,172,5,2.5931525071574923,MAT,baseline
10,151,1,3.711298525400276,MAT,baseline
337,336,1,1.6,,baseline
337,330,2,1.4427083333333333,,baseline
337,317,2,1.63125,,baseline
337,334,1,1.4979166666666668,,baseline
337,345,1,0.5838968954817676,QTRAN,baseline
337,390,1,1.9291666666666665,QTRAN,baseline
337,346,3,2.1333333333333333,ETG-only;RMAPPO,cross_shared
337,546,10,1.7379441738241592,RMAPPO,baseline
337,629,3,0.909375,ETG-only;RMAPPO,cross_shared
337,547,2,3.510860840490826,RMAPPO;Synergy,cross_shared
337,549,3,2.9325825214724777,RMAPPO,baseline
337,637,1,0.8,RMAPPO,baseline
337,639,1,1.049180420245413,RMAPPO,baseline
337,661,2,1.325,ETG-only,calp
337,655,7,2.580208333333333,ETG-only;Synergy,calp
337,660,5,1.4822916666666668,ETG-only;Synergy,calp
337,728,1,1.340625,ETG-only,calp
337,736,1,2.1645833333333333,ETG-only,calp
337,754,1,0.8662912607362389,ETG-only,calp
337,703,1,2.2822916666666666,ETG-only,calp
337,567,11,0.8441941738241592,Synergy,calp
337,651,27,2.555430420245413,Synergy,calp
337,683,1,1.1604166666666667,Synergy,calp
337,656,3,0.9158470869120796,Synergy,calp
337,690,2,1.8666666666666667,Synergy,calp
337,694,1,3.465915854805811,Synergy,calp
337,696,1,1.1604166666666667,Synergy,calp
337,554,2,3.7802083333333334,Synergy,calp
337,631,2,1.646875,Synergy,calp
337,796,1,2.548958333333333,Synergy,calp
547,317,19,2.3200137535787464,,baseline
547,546,36,2.1333333333333333,,baseline
547,545,1,3.2,,baseline
547,561,1,3.644194173824159,MAPPO,baseline
547,229,1,3.355430420245413,,baseline
547,79,1,4.43125,,baseline
547,549,20,2.475444173824159,MAPPO;RMAPPO,baseline
547,553,1,3.513541666666667,MAPPO,baseline
