(7, 17)	170	-45.0012601017952
(8, 4)	171	-60.375
(2, 37)	172	-24.0
(15, 12)	173	-39.0
(15, 13)	174	-48
(15, 14)	175	-48
(16, 2)	176	-57
(4, 17)	177	-60.0
(4, 16)	178	-72
(4, 18)	179	-78
(5, 5)	180	-87
(1, 36)	181	-18.0
(1, 34)	182	-48
(1, 37)	183	-36
(3, 41)	184	-33.0
(3, 42)	185	-21.0
(18, 13)	186	-21
(10, 33)	187	-24
(10, 34)	188	-12.896484375
(11, 10)	189	-18.375
(2, 41)	190	-15.375
(3, 43)	191	-0.75
(6, 5)	192	-8.475161075592041
(6, 37)	193	-25.5
(10, 35)	194	-12.75
(10, 36)	195	-29.25
(1, 4)	196	-2.7939677238464355e-09
(9, 12)	197	-15.0
(3, 44)	198	-17.25
(10, 2)	199	13.445300498685171
(11, 2)	200	8.968962191749522
(11, 1)	201	24.55929206499784
(12, 1)	202	26.734556912901837
(1, 41)	203	0.0
(1, 42)	204	-24.0
(1, 43)	205	-21.0
(9, 13)	206	-18.0
(9, 14)	207	-21
(3, 45)	208	-18
(6, 39)	209	-27
(7, 14)	210	-42.0
(2, 45)	211	0.0
(6, 41)	212	-6.0
(2, 17)	213	-0.75
(2, 46)	214	-4.875
(3, 47)	215	-14.25
(3, 48)	216	-9.94921875
(10, 37)	217	-24.0
(1, 45)	218	6.75
(3, 49)	219	-21.9375
(3, 50)	220	-2.25
(6, 43)	221	-24.0
(6, 44)	222	-16.5
(10, 8)	223	-25.125
(2, 47)	224	-15.0
(6, 46)	225	-22.5
(10, 38)	226	-23.25
(3, 17)	227	0.99755859375
(3, 6)	228	-4.5
(7, 20)	229	21.0
(2, 18)	230	-15
(2, 48)	231	-9
(6, 48)	232	-21.0
(4, 23)	233	-25.5
(7, 6)	234	-32.28428649902344
(3, 54)	235	-6.5625
(3, 46)	236	-2.63671875
(6, 49)	237	1.5
(10, 40)	238	12.0
(3, 57)	239	-2.8125
(6, 42)	240	-2.34375
(6, 51)	241	11.71875
(10, 41)	242	-9.141998291015625
(11, 13)	243	0.6562657356262207
(3, 16)	244	4.646404266357422
(3, 51)	245	13.875812373258668
(3, 52)	246	14.140422888100147
(3, 59)	247	13.5
(1, 50)	248	-2.07769775390625
(2, 6)	249	-3
(2, 53)	250	-3.0
(6, 54)	251	-18.0
(6, 55)	252	-27
(6, 56)	253	-39
(4, 7)	254	-18.752059936523438
(3, 53)	255	5.2529296875
(18, 18)	256	-21.0
(3, 62)	257	-12.046875
(6, 60)	258	-5.625
(2, 57)	259	-21
(3, 63)	260	-20.25
(6, 62)	261	-25.5
(4, 9)	262	-2.90625
(4, 24)	263	-31.316694259643555
(4, 21)	264	-42.0
(5, 2)	265	-42.1875
(1, 48)	266	1.5
(1, 49)	267	-0.1875
(3, 64)	268	-18
(10, 44)	269	-7.426627675769851
(11, 15)	270	3.0
(2, 58)	271	-9
(3, 33)	272	-18.0
(6, 47)	273	-33.375
(4, 26)	274	-17.7333984375
(4, 5)	275	-21.37646484375
(4, 27)	276	-42.0
(10, 45)	277	-24.609375
(7, 22)	278	-36.1289171706811
(2, 61)	279	3
(2, 62)	280	-9
(2, 63)	281	-9
(6, 63)	282	-15.0
(10, 20)	283	-4.875
(7, 18)	284	-27
(8, 5)	285	-30
(3, 65)	286	-17.999507904052734
(3, 66)	287	-19.5
(3, 67)	288	-42
(2, 64)	289	-12.0
(2, 39)	290	-33.0
(15, 25)	291	-37.5
(15, 26)	292	-39.0
(16, 4)	293	-60.0
(16, 5)	294	-69
(17, 3)	295	-84
(11, 6)	296	28.488278397353454
(12, 3)	297	49.499608698953
(3, 69)	298	-6
(6, 65)	299	-3
(6, 66)	300	-15
(11, 11)	301	33.654356011150725
(3, 72)	302	2.97802734375
(6, 68)	303	0.0
(4, 31)	304	-0.28125
(4, 32)	305	-15.0
(3, 75)	306	6
(6, 70)	307	0.0
(10, 47)	308	-6.0
(10, 48)	309	-16.5
(6, 75)	310	-6.0
(2, 66)	311	0.75
(3, 55)	312	6.3515625
(3, 36)	313	8.956050420883457
(6, 69)	314	-0.5859375
(4, 34)	315	-3.1875
(4, 35)	316	-17.90625
(3, 80)	317	-3.0
(6, 78)	318	-6.0
(7, 23)	319	-28.8369140625
(7, 24)	320	-52.6875
(1, 52)	321	18
(3, 81)	322	3.0
