scenario,state_digest,methods,source_relation,frames,episodes,ood_frames,ood_ratio,mean_hp_my,mean_hp_enemy,mean_hp_margin,mean_hp_total,mean_game_progress,median_game_progress,mean_score_conditioned,synergy_frames,synergy_ood_ratio,gate_changed_ratio,gate_validation_ratio,gate_opportunity_ratio,mean_gate_confidence,mean_gate_advantage,mean_gate_candidate_visits,top_action_source,top_tuning_reason
sce-2,d95c29a7488a18f8,ETG-only,source_etg_supported,1,1,0,0.0,108.0,90.0,18.0,198.0,0.45454545454545453,0.45454545454545453,84.0,0,,,,,,,,kg_plan,
sce-2,2a75335d9bdf125a,ETG-only,etg_selected_outside_source_etg,1,1,1,1.0,84.0,9.0,75.0,93.0,0.9090909090909091,0.9090909090909091,84.0,0,,,,,,,,ood,
sce-2,a2ce829fcf0412fc,ETG-only,source_etg_supported,1,1,0,0.0,144.0,135.0,9.0,279.0,0.18181818181818182,0.18181818181818182,78.0,0,,,,,,,,kg_follow,
sce-2,655f858400b85ac4,ETG-only,source_etg_supported,1,1,0,0.0,138.0,135.0,3.0,273.0,0.2727272727272727,0.2727272727272727,78.0,0,,,,,,,,kg_plan,
sce-2,0eb6566d5d9677e8,ETG-only,source_etg_supported,1,1,0,0.0,108.0,72.0,36.0,180.0,0.5454545454545454,0.5454545454545454,78.0,0,,,,,,,,diverge,
sce-2,341779637cdf9c98,ETG-only,source_etg_supported,1,1,0,0.0,84.0,27.0,57.0,111.0,0.8181818181818182,0.8181818181818182,78.0,0,,,,,,,,kg_relaxed,
sce-2,3bc6e0cfe841d93b,ETG-only,source_etg_supported,1,1,0,0.0,78.0,21.0,57.0,99.0,0.9090909090909091,0.9090909090909091,78.0,0,,,,,,,,kg_relaxed,
sce-2,b425f1638f9cfc98,ETG-only,source_etg_supported,1,1,0,0.0,78.0,0.0,78.0,78.0,1.0,1.0,78.0,0,,,,,,,,kg_relaxed,
sce-2,047346e54f830d38,ETG-only,source_etg_supported,1,1,0,0.0,156.0,156.0,0.0,312.0,0.08333333333333333,0.08333333333333333,75.0,0,,,,,,,,kg_follow,
sce-2,89088d325a7f17ff,ETG-only,source_etg_supported,1,1,0,0.0,150.0,135.0,15.0,285.0,0.16666666666666666,0.16666666666666666,75.0,0,,,,,,,,kg_follow,
sce-2,bf57ba32a3919c51,ETG-only,source_etg_supported,1,1,0,0.0,138.0,135.0,3.0,273.0,0.25,0.25,75.0,0,,,,,,,,kg_plan,
sce-2,aa073b5d47db73e4,ETG-only,source_etg_supported,1,1,0,0.0,120.0,111.0,9.0,231.0,0.3333333333333333,0.3333333333333333,75.0,0,,,,,,,,diverge,
sce-2,41d18b86d8b6486c,ETG-only,source_etg_supported,1,1,0,0.0,114.0,90.0,24.0,204.0,0.4166666666666667,0.4166666666666667,75.0,0,,,,,,,,diverge,
sce-2,28e26098e14f6e1b,ETG-only,source_etg_supported,1,1,0,0.0,102.0,90.0,12.0,192.0,0.5,0.5,75.0,0,,,,,,,,diverge,
sce-2,26fde4f04e9fae6c,ETG-only,source_etg_supported,1,1,0,0.0,96.0,66.0,30.0,162.0,0.5833333333333334,0.5833333333333334,75.0,0,,,,,,,,diverge,
sce-2,60886ec25d1f1a5d,ETG-only,source_etg_supported,1,1,0,0.0,90.0,45.0,45.0,135.0,0.6666666666666666,0.6666666666666666,75.0,0,,,,,,,,diverge,
