experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,baseline_variant,score_mean,score_delta_vs_multi_step_no_switch,terminal_hp_delta_mean,terminal_hp_delta_delta_vs_multi_step_no_switch,win_rate,win_rate_delta_vs_multi_step_no_switch,loss_count,loss_delta_vs_multi_step_no_switch,path_diverged_rate,path_diverged_out_of_beam_ratio,path_diverged_has_backup_ratio,switch_rate_per_divergence,switch_frames_per_100,candidate_mean_planning_score_gain,candidate_mean_future_reward_gain,decision_elapsed_ms_mean,beam_plan_call_count,beam_plan_calls_per_100_frames,beam_plan_ms_mean,beam_plan_ms_total,beam_plan_ms_per_frame,beam_plan_ms_per_frame_delta_vs_multi_step_no_switch
sce2_etg_run_0069,ETG-only,MarineMicro_MvsM_4_dist,sce-2,rank07_trial0135_ms_fz050,rank07_trial0135,7,135,fixed_pool_multi_step_switch_fuzzy050,rank07_trial0135_ms_ns,62.94,-10.5,62.94,-10.5,1.0,0.0,0,0.0,0.3271889400921659,0.7746478873239436,0.14084507042253522,0.14084507042253522,4.608294930875576,-0.0015570741428717256,-1.6272333970225301,0.25698134715024823,591,90.78341013824885,1.9573159052453206,1156.7736999999845,1.7769181259600377,-0.6422295465921537
sce2_etg_run_0069,ETG-only,MarineMicro_MvsM_4_dist,sce-2,rank08_trial0125_ms_ns,rank08_trial0125,8,125,fixed_pool_multi_step_no_switch,rank08_trial0125_ms_ns,60.6,0.0,60.6,0.0,0.98,0.0,1,0.0,0.3744360902255639,0.6706827309236948,0.1927710843373494,0.0,0.0,-0.00429455130758286,-1.1561426897321434,0.25020753768849957,640,96.2406015037594,1.4416100000000265,922.630400000017,1.3874141353383713,0.0
sce2_etg_run_0069,ETG-only,MarineMicro_MvsM_4_dist,sce-2,rank08_trial0125_ms_ex,rank08_trial0125,8,125,fixed_pool_multi_step_switch_exact,rank08_trial0125_ms_ns,71.28,10.68,71.28,10.68,1.0,0.020000000000000018,0,-1.0,0.40916271721958924,0.7104247104247104,0.11969111969111969,0.11969111969111969,4.897314375987362,-0.0013722300828844004,-1.39790661391763,0.2559794520548956,583,92.10110584518168,1.663468782161222,969.8022999999924,1.5320731437598616,0.14465900842149026
sce2_etg_run_0069,ETG-only,MarineMicro_MvsM_4_dist,sce-2,rank08_trial0125_ms_fz020,rank08_trial0125,8,125,fixed_pool_multi_step_switch_fuzzy020,rank08_trial0125_ms_ns,69.9,9.300000000000004,69.9,9.300000000000004,1.0,0.020000000000000018,0,-1.0,0.40063091482649843,0.7677165354330708,0.11023622047244094,0.1141732283464567,4.574132492113565,-0.0009325698846835289,-1.365932678428227,0.25142708333331715,587,92.58675078864353,1.6520340715502442,969.7439999999933,1.5295646687697055,0.14215053343133421
sce2_etg_run_0069,ETG-only,MarineMicro_MvsM_4_dist,sce-2,rank08_trial0125_ms_fz050,rank08_trial0125,8,125,fixed_pool_multi_step_switch_fuzzy050,rank08_trial0125_ms_ns,71.58,10.979999999999997,71.58,10.979999999999997,1.0,0.020000000000000018,0,-1.0,0.383147853736089,0.7800829875518672,0.0954356846473029,0.1037344398340249,3.97456279809221,-0.0008984746296289729,-1.4110000314070346,0.26664779874219013,589,93.64069952305246,1.673193718166423,985.5111000000231,1.5667903020668095,0.17937616672843815
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank01_trial0195_ms_ns,rank01_trial0195,1,195,fixed_pool_multi_step_no_switch,rank01_trial0195_ms_ns,43.98,0.0,43.98,0.0,1.0,0.0,0,0.0,0.3252496433666191,0.7149122807017544,0.17982456140350878,0.0,0.0,-0.23837343639389366,13.354406902173913,0.24348333333341138,662,94.43651925820257,0.7871645015105186,521.1028999999634,0.7433707560627152,0.0
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank01_trial0195_ms_ex,rank01_trial0195,1,195,fixed_pool_multi_step_switch_exact,rank01_trial0195_ms_ns,42.24,-1.7399999999999949,42.24,-1.7399999999999949,1.0,0.0,0,0.0,0.2641242937853107,0.6363636363636364,0.24598930481283424,0.22459893048128343,5.932203389830509,-0.23463624273292852,13.2905706804891,0.22230955882357134,633,89.40677966101696,0.7348140600316775,465.1373000000518,0.6569735875706947,-0.0863971684920205
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank01_trial0195_ms_fz020,rank01_trial0195,1,195,fixed_pool_multi_step_switch_fuzzy020,rank01_trial0195_ms_ns,42.24,-1.7399999999999949,42.24,-1.7399999999999949,1.0,0.0,0,0.0,0.22507122507122507,0.6708860759493671,0.26582278481012656,0.25316455696202533,5.698005698005698,-0.2602523497140964,14.65406852619118,0.25140035461003885,605,86.18233618233619,0.7681135537189453,464.7086999999619,0.6619782051281509,-0.08139255093456432
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank01_trial0195_ms_fz050,rank01_trial0195,1,195,fixed_pool_multi_step_switch_fuzzy050,rank01_trial0195_ms_ns,52.86,8.880000000000003,52.86,8.880000000000003,1.0,0.0,0,0.0,0.335243553008596,0.7350427350427351,0.19658119658119658,0.19230769230769232,6.446991404011461,-0.21199080066459008,12.301180580519796,0.24212008928567055,612,87.67908309455588,0.897611437908452,549.3381999999726,0.7870174785099895,0.0436467224472743
sce2m_etg_run_0072,ETG-only,MarineMicro_MvsM_4_dist_mirror,sce-2m,rank02_trial0060_ms_ns,rank02_trial0060,2,60,fixed_pool_multi_step_no_switch,rank02_trial0060_ms_ns,35.28,0.0,35.28,0.0,1.0,0.0,0,0.0,0.16,0.8482142857142857,0.09821428571428571,0.0,0.0,-0.009449102368940202,11.178803923884514,0.238450000000073,565,80.71428571428571,0.958932389380547,541.7968000000091,0.7739954285714415,0.0
