experiment_id,method_group,map_id,map_key,variant,base_variant_id,base_variant_rank,base_variant_trial,backup_condition,episode_id,result,score,terminal_hp_delta,frame_count,switch_count,diverge_count,diverged_out_of_beam_count,plan_switch_candidate_count,mean_candidate_planning_score_gain
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,18,Win,60.0,60.0,18,2,5,1,160,-0.0005764157707730505
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,19,Win,75.0,75.0,16,0,4,3,58,-0.0009446914406764124
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,20,Win,54.0,54.0,15,0,1,1,68,-0.006816992647457993
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,21,Win,60.0,60.0,19,3,7,2,203,-0.0009467690092925812
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,22,Win,48.0,48.0,17,2,6,4,130,-0.0026531657943108045
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,23,Win,54.0,54.0,19,0,5,4,127,-0.002681863632985831
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,24,Win,45.0,45.0,15,0,0,0,12,-0.0011329846440467823
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,25,Win,72.0,72.0,19,2,8,3,196,-0.0008526726012002313
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,26,Win,48.0,48.0,17,2,7,5,155,-0.0022003345108007628
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,27,Win,15.0,15.0,22,3,4,1,198,-0.03478619427405054
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,28,Win,60.0,60.0,17,1,6,3,179,-0.0008588350443380981
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,29,Win,60.0,60.0,20,2,8,3,195,-0.0009776941419103176
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,30,Win,54.0,54.0,16,1,6,5,121,-0.0020609756526629736
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,31,Win,36.0,36.0,20,1,6,2,134,-0.0016039699038641404
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,32,Win,57.0,57.0,17,0,3,3,41,-0.000984264662065457
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,33,Win,63.0,63.0,18,1,3,2,69,-0.001426298739631192
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,34,Win,54.0,54.0,19,2,6,1,173,-0.001055271270120326
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,35,Win,36.0,36.0,21,0,6,6,117,-0.003723261259814616
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,36,Win,57.0,57.0,14,0,6,6,103,-0.0005567614149524914
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,37,Win,3.0,3.0,23,3,4,0,203,-0.03644758902145428
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,38,Win,54.0,54.0,19,0,7,5,139,-0.002689638247821242
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,39,Win,66.0,66.0,18,2,4,1,174,-0.0004490369103040113
sce1_etg_run_0068,ETG-only,MarineMicro_MvsM_4,sce-1,rank01_trial0019_ms_ex,rank01_trial0019,1,19,fixed_pool_multi_step_switch_exact,40,Win,21.0,21.0,20,1,3,1,139,-0.006146606932178473
