map_key,parameter,metric,pearson,spearman,n
sce-1m,backup_score_threshold,win_rate,0.3197599569935916,0.19248120300751878,20
sce-1m,backup_score_threshold,stability,-0.10494685601606053,-0.09774436090225563,20
sce-1m,backup_score_threshold,score_std,-0.262969989529149,-0.24511278195488717,20
sce-1m,backup_distance_threshold,objective,-0.26243171166196616,-0.12180451127819547,20
sce-1m,backup_distance_threshold,avg_score,-0.24574088568185204,-0.08571428571428572,20
sce-1m,backup_distance_threshold,win_rate,-0.3721265219780852,-0.2601503759398496,20
sce-1m,backup_distance_threshold,stability,0.06830176012311637,0.0706766917293233,20
sce-1m,backup_distance_threshold,score_std,0.1751754385563287,0.0706766917293233,20
sce-1m,masked_count,objective,0.2422255641593633,0.24383201902885926,200
sce-1m,masked_count,avg_score,0.22532527847387923,0.23438991368148293,200
sce-1m,masked_count,win_rate,0.2296909902775673,0.23237788562146708,200
sce-1m,masked_count,stability,-0.03525498279608707,-0.03174320761622574,200
sce-1m,masked_count,score_std,-0.22703039542515205,-0.2126932607283673,200
sce-2,beam_width,objective,0.29266337151658517,0.09329641869903885,200
sce-2,beam_width,avg_score,0.31111635037696944,0.06958865355027422,200
sce-2,beam_width,win_rate,0.1671455308326887,0.11161099862359747,200
sce-2,beam_width,stability,-0.023519041487481882,0.0037529218930035233,200
sce-2,beam_width,score_std,-0.03434845886406049,-0.02629658670164064,200
sce-2,lookahead_steps,objective,-0.029681834760824838,0.067382924474748,200
sce-2,lookahead_steps,avg_score,-0.05846810826265969,0.06658262663266921,200
sce-2,lookahead_steps,win_rate,-0.02637608195370046,0.11851271354403632,200
sce-2,lookahead_steps,stability,-0.08642505807036029,-0.07834119065877089,200
sce-2,lookahead_steps,score_std,-0.1847262545659842,-0.16566834199819808,200
sce-2,min_visits,objective,0.14076942019703145,-0.10301065251994686,200
sce-2,min_visits,avg_score,0.13353609105536535,-0.1091330036777506,200
sce-2,min_visits,win_rate,0.3277963530895634,0.10966060340216278,200
sce-2,min_visits,stability,-0.04921749336301254,-0.022368119526867722,200
sce-2,min_visits,score_std,-0.05639212345027407,0.094654370780236,200
sce-2,max_state_revisits,objective,-0.05663278407387001,0.10698175370473274,200
sce-2,max_state_revisits,avg_score,-0.07293254974146537,0.11280441370668255,200
sce-2,max_state_revisits,win_rate,-0.1231969211927642,0.020358921458202242,200
sce-2,max_state_revisits,stability,-0.0518529000334242,-0.0697330850089455,200
sce-2,max_state_revisits,score_std,-0.1047472056961894,-0.15408866104101052,200
sce-2,min_cum_prob,objective,-0.12943125704561317,-0.014007350183754595,200
sce-2,min_cum_prob,avg_score,-0.13300133911611126,-0.039156243589683844,200
sce-2,min_cum_prob,win_rate,0.019875102802904734,0.19722737719365663,200
sce-2,min_cum_prob,stability,0.037120751876367056,-0.013074326858171456,200
sce-2,min_cum_prob,score_std,0.03341899793835596,-0.10487212180304509,200
sce-2,discount_factor,objective,-0.024299253927527128,0.02287257181429536,200
sce-2,discount_factor,avg_score,-0.02805377099214487,0.0323333204580089,200
