idx,map_id,method,experiment_id,episode_id,result,score,sequence_length,mds_x,mds_y
63,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,154,Win,78.0,12,0.028455113942993257,-1.1746832493706025
64,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,153,Win,78.0,12,-1.284533812796275,-0.4991208944664702
65,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,148,Win,78.0,12,-0.03158687615828237,-1.3629783021155737
66,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,142,Win,78.0,12,0.01104552210450419,-1.154345067367371
67,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,139,Win,78.0,12,-1.1304792711901082,-0.6154255228889595
68,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,134,Win,78.0,12,-1.1481911704816692,-0.14723202434315624
69,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,128,Win,78.0,12,-1.2733623410602912,-0.6870888863063392
70,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,122,Win,78.0,12,-0.7939617127204898,-0.63758207531004
71,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,114,Win,78.0,12,-1.2562518852660909,-0.3224993062144742
72,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,113,Win,78.0,12,-1.2429627619092036,-0.5360144412107826
73,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,110,Win,78.0,12,-1.339745288742022,0.03348697547655721
74,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,83,Win,78.0,12,-0.6146971272403333,-1.2010942399628217
75,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,72,Win,78.0,12,-0.8181522169275712,-0.5670806543048784
76,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,62,Win,78.0,12,-0.17353116775900188,-1.2788964249902077
77,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,61,Win,78.0,12,-0.8181522169276052,-0.5670806543047999
78,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,58,Win,78.0,12,-1.6494827348546164,0.23865038183121903
79,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,57,Win,78.0,12,-1.2429627618478676,-0.5360144413971861
80,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,55,Win,78.0,12,-0.7756529696245984,-0.6317873282440324
81,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,44,Win,78.0,12,-0.9122196835683763,-1.2600009063823043
82,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,35,Win,78.0,12,-0.7939617127204891,-0.637582075310039
83,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,32,Win,78.0,12,-0.2725849096015414,-1.1625691419822577
84,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,26,Win,78.0,12,-0.027624659196699746,-1.1394310769595233
85,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,21,Win,78.0,12,-0.7756529696245985,-0.631787328244031
86,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,10,Win,78.0,12,-1.3158926884527946,-0.5597289072868594
87,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,9,Win,78.0,12,-1.2189261330725651,-0.43751763042250785
88,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,231,Win,75.0,12,-1.142374480866453,-0.31079746410023346
89,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,300,Win,75.0,13,-0.3554876072137199,-0.12627375264565682
90,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,291,Win,75.0,13,-0.930110881958456,0.04657548334616588
91,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,285,Win,75.0,13,0.40732553860683796,-1.0552638841890236
92,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,259,Win,75.0,13,0.4098747365596321,-0.9604473043889742
93,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,245,Win,75.0,13,-0.8215359370431554,-0.7900517868795506
94,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,242,Win,75.0,13,-1.4815792912644203,0.4324844066366959
95,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,229,Win,75.0,13,-0.6952065762696293,-0.3698159282750411
96,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,223,Win,75.0,13,-0.8680722947917987,0.06058836773975838
97,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,206,Win,75.0,13,-1.0289573314849887,0.18775830963522716
98,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,201,Win,75.0,13,-0.07996617827335288,-1.3155133984969607
99,MarineMicro_MvsM_4_dist,ETG-only,sce2_etg_run_0042,189,Win,75.0,13,-0.9254537834238943,0.1087864319012366
100,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,289,Win,84.0,12,-1.2640245678471034,-0.4275912822489058
101,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,270,Win,84.0,12,-0.7877170013999599,-1.2679524459435447
102,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,266,Win,84.0,12,0.41966778877229155,-1.25726574955053
103,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,259,Win,84.0,12,-1.1938049780838937,-0.7960393785384166
104,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,258,Win,84.0,12,-1.1250960063067423,-0.6665082549578543
105,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,257,Win,84.0,12,0.17292708336303328,-1.2444918034229928
106,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,217,Win,84.0,12,-1.2033467858666282,-0.770245698953659
107,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,195,Win,84.0,12,-0.07596683310995239,-1.357218629860816
108,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,167,Win,84.0,12,-0.8096960371128503,-1.238135420258915
109,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,166,Win,84.0,12,-0.20660802261784172,-1.0413105246804306
110,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,165,Win,84.0,12,-0.8818204538605643,-1.1175833805652855
111,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,164,Win,84.0,12,0.27322663265271135,-1.2694921611945855
112,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,163,Win,84.0,12,-1.0484055394584575,-0.508348151970564
113,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,154,Win,84.0,12,-0.9917152939980182,-0.4743927796601222
114,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,150,Win,84.0,12,-1.0271878594224078,-0.4285643294105151
115,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,132,Win,84.0,12,-1.1359428353147767,-0.6907525409282284
116,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,116,Win,84.0,12,-1.233209509290065,-0.5560620815541855
117,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,114,Win,84.0,12,-1.196088576100723,-0.6598472208755607
118,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,113,Win,84.0,12,-0.8413987229013686,-1.2698909468402877
119,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,112,Win,84.0,12,-1.0369189059517263,-0.578012853991976
120,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,111,Win,84.0,12,0.23935721829413428,-1.3023249650886868
121,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,108,Win,84.0,12,-1.1228174792457135,-0.4412074219279638
122,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,91,Win,84.0,12,-1.1394243405662323,-0.4828492960045932
123,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,85,Win,84.0,12,-1.0388990416291788,-0.49940957585158446
124,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,77,Win,84.0,12,-0.9918224072439625,-0.543993875422793
125,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,61,Win,84.0,12,-1.1641427069521755,-0.5837001266270877
126,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,46,Win,84.0,12,-1.0216798787398025,-1.2578588948494978
127,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,31,Win,84.0,12,-1.1669995153483594,-0.09924893951680142
128,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,17,Win,84.0,12,0.061562076777286104,-1.1639968092236799
129,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,16,Win,84.0,12,-1.102043847786737,-0.4184840263363016
130,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,2,Win,84.0,12,-1.1395014763356648,-0.9362508740047432
131,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,184,Win,81.0,12,-1.1774103606025519,-0.4911449635036927
132,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,104,Win,81.0,12,-1.122001448786315,-0.34171877708778575
133,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,43,Win,81.0,12,-1.0163509582933727,-0.32716727743102164
134,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,18,Win,81.0,12,-1.02851723367163,-0.3404915768383961
135,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,296,Win,81.0,13,-0.999594408029978,-0.6821256483485806
136,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,291,Win,81.0,13,0.502033540560521,-1.0565559956245951
137,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,284,Win,81.0,13,-0.8617485915412259,-0.20157582421516482
138,MarineMicro_MvsM_4_dist,Synergy,sce2_synergy_run_0041,271,Win,81.0,13,-0.8009493727317906,-0.09128202688285901
